age;gender;residence;religion;maritalstatus;profession;politicalorientation;sexualorientation;like1;like2;like3;community
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
46-55;female;Norfolk;Buddhist;Divorced;Manager;Left;Heterosexual;entertainment;entertainment;music artist;2
18-25;female;Boca Raton;Muslim;Single;Professional;Far Left;Heterosexual;music artist;music artist;entertainment;5
26-35;male;Boca Raton;Muslim;Married;Professional;Left;Heterosexual;entertainment;entertainment;music artist;5
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Left;Heterosexual;tv show;drink brand;soccer club;7
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;male;Boston;Buddhist;Married;Manager;Left;Bisexual;music artist;music artist;entertainment;2
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;drink brand;drink brand;entertainment;3
18-25;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Norfolk;Buddhist;Divorced;Student;Center Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;5
66-75;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
26-35;female;Santa Barbara;Buddhist;Divorced;Manager;Far Left;Bisexual;music artist;music artist;entertainment;2
66-75;female;San Jose;Jewish;Married;Production transportation and material moving;Far Left;Heterosexual;music artist;music artist;entertainment;4
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;soccer club;0
36-45;male;Palo Alto;Christian;Married;Sales and office;Center Right;Heterosexual;tv show;drink brand;soccer club;0
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
36-45;female;Boca Raton;Buddhist;Divorced;Sales and office;Left;Bisexual;music artist;music artist;entertainment;2
46-55;male;Boston;No religious affiliation;Married;Sales and office;Center Right;Heterosexual;drink brand;drink brand;entertainment;0
46-55;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;soccer club;0
46-55;male;Boston;No religious affiliation;Married;Sales and office;Left;Heterosexual;drink brand;drink brand;entertainment;0
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Norfolk;Muslim;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
46-55;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
26-35;female;Boston;Christian;Single;Manager;Left;Heterosexual;music artist;music artist;entertainment;2
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
36-45;female;Norfolk;Muslim;Single;Manager;Center;Heterosexual;music artist;music artist;entertainment;2
36-45;female;Santa Barbara;Buddhist;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Boca Raton;Buddhist;Divorced;Sales and office;Center Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
26-35;female;Santa Barbara;Hindu;Married;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
36-45;female;Norfolk;Buddhist;Divorced;Sales and office;Center Left;Bisexual;entertainment;entertainment;music artist;2
26-35;male;Norfolk;Buddhist;Divorced;Manager;Far Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
76-85;male;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;music artist;music artist;entertainment;4
26-35;female;Boca Raton;Muslim;Single;Sales and office;Right;Bisexual;entertainment;entertainment;music artist;5
26-35;male;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Left;Heterosexual;tv show;drink brand;soccer club;9
56-65;female;Palo Alto;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Norfolk;Muslim;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Norfolk;Buddhist;Divorced;Service;Left;Bisexual;entertainment;entertainment;music artist;2
46-55;female;Palo Alto;Other Religions;Married;Service;Left;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Norfolk;Buddhist;Divorced;Manager;Center Right;Bisexual;music artist;music artist;entertainment;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Muslim;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
46-55;female;Norfolk;Buddhist;Divorced;Manager;Center;Heterosexual;music artist;music artist;entertainment;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
26-35;female;Norfolk;No religious affiliation;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Heterosexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
36-45;male;Norfolk;Buddhist;Divorced;Student;Left;Bisexual;music artist;music artist;entertainment;2
26-35;female;Boston;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;female;Boca Raton;Christian;Single;Student;Center Left;Heterosexual;entertainment;entertainment;music artist;5
18-25;male;Boca Raton;Muslim;Single;Professional;Right;Heterosexual;tv show;drink brand;soccer club;5
26-35;female;Boca Raton;Hindu;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;5
26-35;male;San Jose;Christian;Single;Student;Left;Heterosexual;entertainment;entertainment;music artist;5
46-55;female;Palo Alto;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
18-25;male;Norfolk;Muslim;Single;Service;Center;Heterosexual;tv show;drink brand;soccer club;5
46-55;female;Boca Raton;Hindu;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;5
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;tv show;drink brand;soccer club;5
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
76-85;female;Boca Raton;Other Religions;Single;Professional;Left;Heterosexual;entertainment;entertainment;music artist;5
36-45;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;5
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;5
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
26-35;female;Boca Raton;Muslim;Single;Professional;Left;Heterosexual;music artist;music artist;entertainment;5
18-25;female;Norfolk;Muslim;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;tv show;drink brand;soccer club;5
18-25;female;Norfolk;Muslim;Single;Sales and office;Center;Heterosexual;entertainment;entertainment;music artist;5
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
26-35;male;Boston;No religious affiliation;Single;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
46-55;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Far Right;Heterosexual;tv show;drink brand;soccer club;3
18-25;female;Norfolk;Buddhist;Widowed;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
46-55;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;drink brand;drink brand;entertainment;3
46-55;male;Boston;Christian;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;soccer club;0
18-25;female;Boca Raton;Muslim;Single;Professional;Left;Heterosexual;entertainment;entertainment;music artist;5
36-45;female;Palo Alto;Christian;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Boca Raton;Muslim;Married;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;5
26-35;female;Boca Raton;Muslim;Single;Student;Center Right;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Bisexual;music artist;music artist;entertainment;2
26-35;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;music artist;music artist;entertainment;5
26-35;female;San Jose;Buddhist;Divorced;Manager;Left;Heterosexual;tv show;drink brand;soccer club;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Far Left;Heterosexual;music artist;music artist;entertainment;2
36-45;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Boca Raton;Muslim;Married;Sales and office;Right;Heterosexual;entertainment;entertainment;music artist;5
76-85;female;Santa Barbara;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
66-75;male;Boca Raton;Hindu;Married;Natural resources construction and maintenance;Left;Heterosexual;music artist;music artist;entertainment;7
18-25;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
26-35;female;Boca Raton;Christian;Married;Professional;Center;Heterosexual;music artist;music artist;entertainment;5
26-35;female;Santa Barbara;Buddhist;Single;Professional;Right;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
36-45;male;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;5
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
36-45;female;Norfolk;Other Religions;Married;Manager;Center Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;5
66-75;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Norfolk;Buddhist;Divorced;Production transportation and material moving;Left;Bisexual;music artist;music artist;entertainment;2
36-45;female;Norfolk;Christian;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
26-35;male;San Jose;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;Palo Alto;Christian;Single;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
36-45;female;Boca Raton;Hindu;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
56-65;female;San Jose;Christian;Single;Student;Center Left;Heterosexual;music artist;music artist;entertainment;1
76-85;male;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;music artist;music artist;entertainment;4
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Norfolk;Buddhist;Divorced;Manager;Center;Bisexual;entertainment;entertainment;music artist;2
26-35;male;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;tv show;drink brand;soccer club;2
66-75;female;San Jose;Jewish;Married;Production transportation and material moving;Center Right;Heterosexual;entertainment;entertainment;music artist;4
66-75;female;Norfolk;Jewish;Married;Production transportation and material moving;Far Left;Heterosexual;entertainment;entertainment;music artist;4
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
36-45;female;San Jose;Buddhist;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;3
26-35;female;Boston;No religious affiliation;Married;Sales and office;Center Right;Heterosexual;tv show;drink brand;soccer club;0
56-65;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
46-55;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;drink brand;drink brand;entertainment;0
46-55;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
36-45;male;Boston;No religious affiliation;Single;Sales and office;Center;Heterosexual;entertainment;drink brand;music artist;0
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
56-65;female;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
46-55;female;Santa Barbara;No religious affiliation;Married;Natural resources construction and maintenance;Center Right;Heterosexual;drink brand;drink brand;entertainment;3
26-35;male;Norfolk;Buddhist;Divorced;Manager;Center Left;Heterosexual;music artist;music artist;entertainment;2
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
36-45;female;Norfolk;Buddhist;Married;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
36-45;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
36-45;female;Boca Raton;Christian;Married;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
56-65;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
46-55;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
36-45;female;Boston;No religious affiliation;Married;Sales and office;Center Right;Heterosexual;tv show;drink brand;soccer club;0
36-45;female;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;drink brand;drink brand;entertainment;0
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
18-25;female;Norfolk;Buddhist;Divorced;Student;Left;Bisexual;music artist;music artist;entertainment;2
56-65;male;Boca Raton;Buddhist;Widowed;Professional;Right;Heterosexual;drink brand;drink brand;entertainment;3
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
36-45;male;Boston;Buddhist;Married;Sales and office;Center Left;Heterosexual;music artist;music artist;entertainment;0
18-25;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Heterosexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Boca Raton;Christian;Single;Service;Center;Heterosexual;entertainment;entertainment;music artist;8
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
76-85;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;drink brand;drink brand;entertainment;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
66-75;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
26-35;female;Norfolk;Buddhist;Single;Manager;Left;Bisexual;music artist;music artist;entertainment;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Boca Raton;Muslim;Single;Professional;Left;Heterosexual;drink brand;drink brand;entertainment;5
18-25;female;Norfolk;Buddhist;Divorced;Manager;Far Left;Bisexual;music artist;music artist;entertainment;2
56-65;male;Palo Alto;Christian;Married;Student;Center;Heterosexual;entertainment;entertainment;music artist;1
76-85;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
56-65;female;Palo Alto;Jewish;Married;Student;Left;Heterosexual;entertainment;entertainment;music artist;4
18-25;female;Norfolk;Buddhist;Divorced;Sales and office;Center Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Boca Raton;Hindu;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
46-55;female;Norfolk;Buddhist;Divorced;Manager;Far Left;Bisexual;entertainment;entertainment;music artist;2
36-45;female;Norfolk;Buddhist;Divorced;Manager;Far Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Right;Heterosexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
36-45;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Boston;Buddhist;Divorced;Manager;Far Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
18-25;male;Palo Alto;Christian;Single;Production transportation and material moving;Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Asexual;music artist;music artist;entertainment;2
26-35;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
36-45;female;Norfolk;Buddhist;Single;Manager;Far Left;Bisexual;music artist;music artist;entertainment;2
36-45;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;drink brand;drink brand;entertainment;2
36-45;female;Norfolk;Buddhist;Divorced;Service;Left;Bisexual;entertainment;entertainment;music artist;2
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;tv show;drink brand;soccer club;3
66-75;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;drink brand;drink brand;entertainment;3
46-55;male;Norfolk;Other Religions;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;male;Boston;No religious affiliation;Married;Service;Center Left;Heterosexual;tv show;drink brand;soccer club;0
36-45;male;Boston;No religious affiliation;Married;Production transportation and material moving;Center Right;Heterosexual;drink brand;drink brand;entertainment;0
56-65;female;Boca Raton;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;drink brand;drink brand;entertainment;3
26-35;female;Norfolk;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
66-75;male;Boston;Hindu;Widowed;Natural resources construction and maintenance;Left;Heterosexual;drink brand;drink brand;entertainment;3
66-75;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;drink brand;drink brand;entertainment;3
36-45;male;Palo Alto;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;tv show;drink brand;soccer club;3
56-65;female;Santa Barbara;Christian;Married;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
56-65;male;Santa Barbara;Other Religions;Divorced;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
56-65;female;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;tv show;drink brand;soccer club;3
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
66-75;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;drink brand;drink brand;entertainment;3
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
46-55;male;Santa Barbara;Hindu;Divorced;Natural resources construction and maintenance;Right;Heterosexual;drink brand;drink brand;entertainment;3
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
46-55;male;Boston;No religious affiliation;Married;Natural resources construction and maintenance;Center Right;Heterosexual;tv show;drink brand;soccer club;0
26-35;female;Norfolk;Buddhist;Divorced;Manager;Far Left;Bisexual;music artist;music artist;entertainment;2
26-35;male;Norfolk;Buddhist;Divorced;Service;Left;Heterosexual;tv show;drink brand;soccer club;2
56-65;female;Boston;Hindu;Widowed;Natural resources construction and maintenance;Left;Heterosexual;tv show;drink brand;soccer club;3
46-55;male;Santa Barbara;Hindu;Married;Natural resources construction and maintenance;Right;Heterosexual;drink brand;drink brand;entertainment;3
26-35;male;Norfolk;Hindu;Widowed;Sales and office;Center Right;Heterosexual;tv show;drink brand;soccer club;3
56-65;male;Santa Barbara;Muslim;Divorced;Natural resources construction and maintenance;Center Right;Heterosexual;drink brand;drink brand;entertainment;3
18-25;female;Norfolk;Buddhist;Married;Student;Left;Bisexual;music artist;music artist;entertainment;2
56-65;male;Santa Barbara;Hindu;Married;Natural resources construction and maintenance;Right;Heterosexual;drink brand;drink brand;entertainment;3
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
66-75;female;San Jose;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
18-25;female;Boca Raton;Christian;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;8
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
46-55;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;entertainment;entertainment;music artist;3
66-75;female;Palo Alto;Hindu;Single;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
56-65;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
26-35;female;San Jose;Buddhist;Divorced;Manager;Left;Heterosexual;entertainment;entertainment;music artist;2
46-55;male;Boston;No religious affiliation;Married;Sales and office;Center Right;Heterosexual;drink brand;drink brand;entertainment;0
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Boston;Hindu;Married;Natural resources construction and maintenance;Center Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;male;Norfolk;Buddhist;Divorced;Manager;Left;Heterosexual;entertainment;entertainment;music artist;2
46-55;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;drink brand;drink brand;entertainment;3
66-75;male;Boston;No religious affiliation;Married;Professional;Center Left;Heterosexual;entertainment;entertainment;music artist;2
56-65;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
26-35;male;Norfolk;Buddhist;Divorced;Manager;Right;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Heterosexual;entertainment;entertainment;music artist;2
66-75;female;Norfolk;Jewish;Married;Production transportation and material moving;Left;Bisexual;entertainment;entertainment;music artist;4
56-65;female;Palo Alto;Jewish;Married;Production transportation and material moving;Far Left;Heterosexual;music artist;music artist;entertainment;4
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
66-75;male;Santa Barbara;No religious affiliation;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;drink brand;drink brand;entertainment;3
76-85;female;San Jose;No religious affiliation;Married;Production transportation and material moving;Left;Heterosexual;music artist;music artist;entertainment;4
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Heterosexual;entertainment;entertainment;music artist;2
46-55;female;Norfolk;Muslim;Widowed;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Hindu;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Santa Barbara;Hindu;Married;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;male;Boston;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
18-25;female;Palo Alto;Other Religions;Divorced;Student;Center Left;Bisexual;music artist;music artist;entertainment;2
26-35;female;Norfolk;Buddhist;Married;Manager;Center Left;Heterosexual;music artist;music artist;entertainment;2
18-25;female;Norfolk;Buddhist;Divorced;Manager;Center Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Palo Alto;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Norfolk;Buddhist;Divorced;Manager;Far Left;Homosexual;entertainment;entertainment;music artist;2
18-25;female;Boca Raton;Muslim;Married;Professional;Center Right;Heterosexual;music artist;music artist;entertainment;5
26-35;female;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
46-55;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;drink brand;drink brand;entertainment;3
66-75;male;Norfolk;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;female;Boston;Muslim;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
18-25;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
26-35;male;Boston;No religious affiliation;Married;Student;Center Left;Heterosexual;tv show;drink brand;soccer club;0
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
18-25;female;San Jose;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
